NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Cody Williams,willico04,20,SG,4.6,1.2,2.3,0.5,0.3,https://www.basketball-reference.com/players/w/willico04.html
Kyle Filipowski,filipky01,21,C,9.6,1.9,6.1,0.7,0.3,https://www.basketball-reference.com/players/f/filipky01.html
Brice Sensabaugh,sensabr01,21,SF,10.9,1.5,3.0,0.6,0.1,https://www.basketball-reference.com/players/s/sensabr01.html
Svi Mykhailiuk,mykhasv01,27,SF,8.8,2.0,2.4,0.5,0.2,https://www.basketball-reference.com/players/m/mykhasv01.html
Johnny Juzang,juzanjo01,23,SG,8.9,1.1,2.9,0.6,0.1,https://www.basketball-reference.com/players/j/juzanjo01.html
Micah Potter,pottemi01,26,C,4.3,0.8,4.3,0.4,0.4,https://www.basketball-reference.com/players/p/pottemi01.html
Oscar Tshiebwe,tshieos01,25,C,7.6,0.6,8.7,0.9,0.1,https://www.basketball-reference.com/players/t/tshieos01.html
Drew Eubanks,eubandr01,27,C,5.8,1.2,4.5,0.3,0.9,https://www.basketball-reference.com/players/e/eubandr01.html
Patty Mills,millspa02,36,PG,4.4,1.2,1.2,0.7,0.2,https://www.basketball-reference.com/players/m/millspa02.html
Elijah Harkless,harklej01,24,SG,3.2,0.8,2.1,1.0,0.1,https://www.basketball-reference.com/players/h/harklej01.html
Jaden Springer,sprinja01,22,PG,3.8,1.4,2.0,0.7,0.2,https://www.basketball-reference.com/players/s/sprinja01.html
Bilal Coulibaly,coulibi01,20,SF,12.3,3.4,5.0,1.3,0.7,https://www.basketball-reference.com/players/c/coulibi01.html
Bub Carrington,carrica01,19,PG,9.8,4.4,4.2,0.7,0.3,https://www.basketball-reference.com/players/c/carrica01.html
Jordan Poole,poolejo01,25,SG,20.5,4.5,3.0,1.3,0.4,https://www.basketball-reference.com/players/p/poolejo01.html
Kyle Kuzma,kuzmaky01,29,PF,15.2,2.5,5.8,0.6,0.2,https://www.basketball-reference.com/players/k/kuzmaky01.html
Alex Sarr,sarral01,19,C,13.0,2.4,6.5,0.7,1.5,https://www.basketball-reference.com/players/s/sarral01.html
AJ Johnson,johnsaj01,20,SG,9.1,3.1,2.4,0.5,0.1,https://www.basketball-reference.com/players/j/johnsaj01.html
Kyshawn George,georgky01,21,SG,8.7,2.5,4.2,1.0,0.7,https://www.basketball-reference.com/players/g/georgky01.html
Corey Kispert,kispeco01,25,SF,11.6,1.7,3.0,0.4,0.2,https://www.basketball-reference.com/players/k/kispeco01.html
Colby Jones,jonesco02,22,SG,8.7,2.5,4.3,1.3,0.4,https://www.basketball-reference.com/players/j/jonesco02.html
Malcolm Brogdon,brogdma01,32,PG,12.7,4.1,3.8,0.5,0.2,https://www.basketball-reference.com/players/b/brogdma01.html
